id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;instructionsUndersto;randomQuestions[Q1];randomQuestions[Q2];randomQuestions[Q3];randomQuestions[Q4];randomQuestions[Q5];randomQuestions[Q6];randomQuestions[Q7];randomQuestions[Q8];randomQuestions[Q9];randomQuestions[Q10];randomQuestions[Q11];randomQuestions[Q12];randomQuestions[Q13];randomQuestions[Q14];randomQuestions[Q15];randomQuestions[Q16];randomQuestions[Q17];randomQuestions[Q18];randomQuestions[Q19];randomQuestions[Q20];QDD1;assignNumbers;QDD2;QDD3;AllQuestionsS1[F1];AllQuestionsS1[F11];AllQuestionsS1[F12];AllQuestionsS1[F2];AllQuestionsS1[F21];AllQuestionsS1[F22];AllQuestionsS1[F23];AllQuestionsS1[F24];AllQuestionsS1[F3];AllQuestionsS1[F31];AllQuestionsS1[F32];AllQuestionsS1[F41];AllQuestionsS1[F42];AllQuestionsS1[N1];AllQuestionsS1[N2];AllQuestionsS1[N3];AllQuestionsS1[N4];AllQuestionsS2[F1];AllQuestionsS2[F11];AllQuestionsS2[F12];AllQuestionsS2[F2];AllQuestionsS2[F21];AllQuestionsS2[F22];AllQuestionsS2[F23];AllQuestionsS2[F24];AllQuestionsS2[F3];AllQuestionsS2[F31];AllQuestionsS2[F32];AllQuestionsS2[F41];AllQuestionsS2[F42];AllQuestionsS2[N1];AllQuestionsS2[N2];AllQuestionsS2[N3];AllQuestionsS2[N4];AllQuestionsS3[F1];AllQuestionsS3[F11];AllQuestionsS3[F12];AllQuestionsS3[F2];AllQuestionsS3[F21];AllQuestionsS3[F22];AllQuestionsS3[F23];AllQuestionsS3[F24];AllQuestionsS3[F3];AllQuestionsS3[F31];AllQuestionsS3[F32];AllQuestionsS3[F41];AllQuestionsS3[F42];AllQuestionsS3[N1];AllQuestionsS3[N2];AllQuestionsS3[N3];AllQuestionsS3[N4];AllQuestionsS4[F1];AllQuestionsS4[F11];AllQuestionsS4[F12];AllQuestionsS4[F2];AllQuestionsS4[F21];AllQuestionsS4[F22];AllQuestionsS4[F23];AllQuestionsS4[F24];AllQuestionsS4[F3];AllQuestionsS4[F31];AllQuestionsS4[F32];AllQuestionsS4[F41];AllQuestionsS4[F42];AllQuestionsS4[N1];AllQuestionsS4[N2];AllQuestionsS4[N3];AllQuestionsS4[N4];herdSize[decr];herdSize[main];herdSize[incr];statusQuo;QAttentionCheck[env];QAttentionCheck[market];QAttentionCheck[tax];QAttentionCheck[health];interviewtime;groupTime617;instructionsUnderstoTime;ProlificIDTime;randomQuestionsTime;groupTime615;QDD1Time;assignNumbersTime;groupTime618;QDD2Time;groupTime619;QDD3Time;groupTime621;AllQuestionsS1Time;groupTime620;AllQuestionsS2Time;groupTime622;AllQuestionsS3Time;groupTime616;AllQuestionsS4Time;groupTime624;herdSizeTime;statusQuoTime;groupTime623;QAttentionCheckTime
16;24/01/2025 09:05;10;en;222190603;24/01/2025 08:59;24/01/2025 09:05;Y;1;2;2;3;4;3;1;3;3;2;1;1;3;4;2;1;1;3;1;1;read;1  2  2  3  4  3  1  3  3  2  1  1  3  4  2  1  1  3  1  1;read;read;AO02;;;;;;AO03;;;;AO05;;;;AO04;AO01;;;AO03;AO04;;;;;;;AO05;;;;AO04;;;;;;;AO03;;AO03;;AO05;AO05;;;AO04;;;;;AO04;;;;;AO04;;;;;;;;AO04;;;;;AO02;AO03;AO02;AO02;Y;Y;;;334.57;7.25;;;;56.99;;;67.89;;55.65;;38.52;;12.84;;39.66;;23.42;;19.53;;;12.82;
20;24/01/2025 09:06;10;en;1405960524;24/01/2025 09:00;24/01/2025 09:06;Y;2;2;4;4;2;3;3;3;1;4;1;1;4;4;3;1;1;3;1;3;read;2  2  4  4  2  3  3  3  1  4  1  1  4  4  3  1  1  3  1  3;read;read;;;;;;;;;AO04;;AO05;;;;AO02;AO01;;AO05;AO05;;;AO02;;;;;;;;;;;;;;;;;;AO04;AO03;AO04;;;;;;AO03;;;AO03;;;AO04;AO03;;;;;;AO03;;AO01;AO01;;;;;AO02;AO03;AO04;AO04;Y;Y;;Y;378.85;13.94;;;;84.32;;;87.7;;61.44;;20.52;;11.55;;27.17;;38.02;;23.17;;;11.02;
21;24/01/2025 09:10;10;en;1603130989;24/01/2025 09:00;24/01/2025 09:10;Y;2;2;3;1;1;1;2;2;2;1;2;2;3;2;1;1;1;1;4;3;read;2  2  3  1  1  1  2  2  2  1  2  2  3  2  1  1  1  1  4  3;read;read;;;;AO04;AO03;AO03;;;;AO04;;;;AO03;AO03;AO02;AO01;AO04;AO04;;;;;AO03;AO04;AO03;;AO05;;AO04;;;;;;;AO05;;;;;;;;;AO04;;;;;;;;;;;;;;;;;;;;;;;AO02;AO03;AO02;AO04;Y;;;Y;631.14;23.46;;;;117.45;;;161.98;;113.85;;60.13;;65.65;;38.74;;4.87;;26.64;;;18.37;
25;24/01/2025 09:07;10;en;1514302418;24/01/2025 09:00;24/01/2025 09:07;Y;4;2;2;3;1;3;2;3;1;4;4;1;1;2;1;1;4;2;3;4;read;4  2  2  3  1  3  2  3  1  4  4  1  1  2  1  1  4  2  3  4;read;read;;;;;AO05;;;;AO05;;;AO05;;AO02;AO02;;;;AO04;AO04;;;;AO04;;;;;;AO04;;;;AO02;;;;AO04;;AO04;;AO04;;;;;;;;;;AO04;;;;;;;;;AO04;AO04;;;;;AO02;;AO02;AO05;AO02;AO04;Y;;;;431.05;7.23;;;;156.51;;;5.51;;9.88;;15.77;;13.94;;195.53;;8.39;;12.99;;;5.3;
26;24/01/2025 09:09;10;en;861535279;24/01/2025 09:00;24/01/2025 09:09;Y;4;2;1;1;4;4;4;4;1;2;1;2;4;1;4;4;3;3;4;3;read;4  2  1  1  4  4  4  4  1  2  1  2  4  1  4  4  3  3  4  3;read;read;;;AO03;AO05;;;;;AO05;;AO05;;AO01;;;;;;AO03;;;;;;;;AO05;;;;;;;;;;;;;;;;;;;;;;;AO01;AO04;AO03;;;;AO05;AO03;AO01;AO05;;;;AO04;;AO05;AO03;;;AO01;AO04;AO04;AO05;Y;Y;;Y;529.9;11.77;;;;82.49;;;68.96;;52.52;;90.47;;14.14;;13.67;;42.97;;112.91;;;40;
30;24/01/2025 09:11;10;en;796536401;24/01/2025 09:00;24/01/2025 09:11;Y;2;3;1;1;4;4;2;1;4;1;4;2;4;4;3;4;2;3;1;4;read;2  3  1  1  4  4  2  1  4  1  4  2  4  4  3  4  2  3  1  4;read;read;;;AO05;AO05;;;;AO05;;AO05;;;;;;;;AO05;;;;;;AO01;;;;;;;;;AO01;;;AO05;;;;;;;;;;;;AO05;;;AO05;;;;;AO05;AO05;;;AO05;;AO05;AO05;AO05;;AO05;;;AO01;AO01;AO01;AO05;Y;;;Y;648.33;22.29;;;;132.45;;;116.07;;69.07;;48.77;;29.21;;88.08;;72.45;;32.17;;;37.77;
31;24/01/2025 09:09;10;en;1667168205;24/01/2025 09:01;24/01/2025 09:09;Y;4;4;2;2;3;4;3;4;2;4;3;1;3;3;2;3;1;1;3;1;read;4  4  2  2  3  4  3  4  2  4  3  1  3  3  2  3  1  1  3  1;read;read;;;;;;;;;;;;;;;;AO02;AO02;;;AO04;AO02;;;;;AO04;;;;;AO04;;;;;;;;AO04;;AO01;;;;AO04;AO02;AO02;;AO04;;;AO04;AO04;;;;AO02;;AO04;;AO04;;;;;;;;AO02;AO03;AO04;AO04;Y;Y;;Y;484.62;14.52;;;;76.59;;;59.68;;58.58;;153.04;;28.37;;27.42;;20.5;;34.21;;;11.71;
32;24/01/2025 09:18;10;en;1637613706;24/01/2025 09:01;24/01/2025 09:18;Y;1;4;1;2;2;4;4;4;4;3;2;3;2;2;3;4;1;4;2;1;read;1  4  1  2  2  4  4  4  4  3  2  3  2  2  3  4  1  4  2  1;read;read;AO04;;AO05;;;;;;;;;;;;;AO04;;;;;AO04;AO05;;;;;;AO01;AO05;AO05;;;;;;;;;;;;;;AO05;;;;AO04;;;;;AO04;;;;AO05;AO05;AO05;AO05;;;;;;AO02;;AO01;AO01;AO05;AO04;AO05;Y;;Y;Y;996.21;54.66;;;;331.2;;;281.71;;36.04;;24.22;;59.24;;21.79;;102.32;;48.93;;;36.1;
33;24/01/2025 09:09;10;en;1493711787;24/01/2025 09:01;24/01/2025 09:09;Y;1;2;3;3;1;4;3;1;4;3;1;1;4;3;4;1;2;1;4;2;read;1  2  3  3  1  4  3  1  4  3  1  1  4  3  4  1  2  1  4  2;read;read;AO05;;;;AO05;;;AO03;;;AO04;;;;AO01;;AO01;;AO05;;;;;;;;;;;;;;AO01;;;;AO05;AO01;;;AO01;;;AO05;;;AO03;;;;;;;;;;AO03;;;AO01;;;AO05;;AO02;;;;AO01;AO05;AO03;AO03;Y;Y;;Y;509.5;12.97;;;;100.52;;;103.78;;106.99;;49.52;;9.99;;62.94;;33.79;;17.99;;;11.01;
34;24/01/2025 09:10;10;en;2020328992;24/01/2025 09:01;24/01/2025 09:10;Y;2;2;1;3;2;3;1;3;1;2;1;3;4;4;3;4;3;2;1;2;read;2  2  1  3  2  3  1  3  1  2  1  3  4  4  3  4  3  2  1  2;read;read;;;AO05;;;;AO04;;AO04;;AO05;;;;;;;AO05;AO05;;;AO05;;;;;AO05;;;;;;;AO02;;;;AO04;;AO05;;AO05;;;;;;AO01;;AO02;;;;;;;;;;;;;AO05;AO02;;AO02;;;AO01;AO03;AO05;AO04;Y;;;Y;516.03;28.29;;;;127.12;;;127.89;;80.21;;19.3;;16.92;;41.72;;27.21;;27.48;;;19.89;
35;24/01/2025 09:09;10;en;1756566489;24/01/2025 09:02;24/01/2025 09:09;Y;3;1;2;4;1;2;3;2;3;2;3;4;4;4;4;4;3;4;2;2;read;3  1  2  4  1  2  3  2  3  2  3  4  4  4  4  4  3  4  2  2;read;read;;AO05;;;AO05;;;;;;;;;;;;;;;AO05;;;AO05;;AO04;;AO04;;;;;;;;AO04;;;;;;AO03;;AO04;;AO04;;;;;AO01;;;;;AO05;;;;;;;;AO03;AO01;AO02;AO01;;AO01;AO02;AO03;AO03;AO05;Y;Y;;Y;452.61;26.32;;;;88.7;;;99.21;;71.52;;11.71;;32.23;;33.74;;53.37;;23.17;;;12.64;
36;24/01/2025 09:09;10;en;250133922;24/01/2025 09:02;24/01/2025 09:09;Y;4;3;3;2;4;2;3;4;4;4;3;3;4;4;4;2;1;4;3;4;read;4  3  3  2  4  2  3  4  4  4  3  3  4  4  4  2  1  4  3  4;read;read;;;;;;;;;;;;;;;;AO01;;;;;AO04;;AO03;;;;;;;;;AO01;;;;AO04;AO04;;;;AO04;;;;AO04;;;;;;;AO04;;;;AO04;;;AO04;AO04;AO04;;AO04;AO04;AO03;;;AO02;AO02;AO03;AO02;AO05;Y;;;Y;419.19;9.79;;;;96.65;;;91.01;;56.15;;11.61;;42.22;;22.7;;53.3;;22.78;;;12.98;
37;24/01/2025 09:14;10;en;886999448;24/01/2025 09:02;24/01/2025 09:14;Y;4;4;2;1;1;3;1;3;2;1;4;2;1;3;4;2;2;4;4;2;read;4  4  2  1  1  3  1  3  2  1  4  2  1  3  4  2  2  4  4  2;read;read;;;;AO03;AO04;;AO02;;;AO04;;AO04;;;;;;;;AO04;;;;;;AO04;;;;;;AO03;AO02;;;;;;;AO04;;AO04;;;;;AO02;;;;;AO04;AO04;;;;;;;;;AO04;;;AO02;;;AO03;AO03;AO04;AO03;AO03;Y;;;;731.87;23.5;;;;134.36;;;209.88;;170.92;;39.47;;41.45;;57.09;;21.9;;22.9;;;10.4;
38;24/01/2025 09:06;10;en;1663282430;24/01/2025 09:02;24/01/2025 09:06;Y;2;3;4;4;2;3;2;3;2;3;4;4;1;1;3;1;2;4;3;4;read;2  3  4  4  2  3  2  3  2  3  4  4  1  1  3  1  2  4  3  4;read;read;;;;;;;;;;;;AO05;AO05;;AO01;;;AO03;;;;AO05;;AO05;;AO03;;;;;;;AO01;;;AO05;;;;AO05;;AO05;;AO05;;;;AO03;;;;;;AO05;AO05;;;;;;;AO05;;;;;;AO02;AO01;AO05;AO01;AO01;Y;;;Y;279.18;9.56;;;;30.91;;;23.06;;20.51;;63.97;;20.65;;16.17;;14.88;;71.24;;;8.23;
39;24/01/2025 09:07;10;en;1249056693;24/01/2025 09:02;24/01/2025 09:07;Y;1;4;2;4;3;1;1;1;4;3;4;2;3;3;4;4;4;3;2;1;read;1  4  2  4  3  1  1  1  4  3  4  2  3  3  4  4  4  3  2  1;read;read;AO04;;;;;AO02;AO03;AO05;;;;;;;;;;;;AO04;;;;;;;;;;;;;;;;;;;AO05;;;;;AO05;;AO05;AO02;;;;AO01;;AO05;;AO01;;;;;AO05;;AO05;;;AO02;AO02;AO04;;AO01;AO01;AO04;AO04;Y;Y;;Y;307.3;8.53;;;;55.6;;;70.59;;45.31;;25.68;;6.91;;22.14;;40.14;;20.22;;;12.18;
40;24/01/2025 09:12;10;en;990918592;24/01/2025 09:02;24/01/2025 09:12;Y;1;4;2;1;4;1;3;1;2;4;4;4;3;3;3;2;2;2;2;1;read;1  4  2  1  4  1  3  1  2  4  4  4  3  3  3  2  2  2  2  1;read;read;AO05;;;AO05;;AO05;;AO03;;;;;;;;;;;;AO05;;;;;;AO05;;;;;;AO01;AO01;AO01;;;;;;;AO01;;;;;AO01;AO01;AO01;;;;;AO05;;;AO05;;;;;AO05;AO05;;;;;;;AO01;AO05;AO04;AO05;Y;;;Y;616.35;19.31;;;;186.31;;;117.83;;81.92;;33.54;;47;;33.95;;13.15;;48.2;;;35.14;
41;24/01/2025 09:05;10;en;1908752540;24/01/2025 09:02;24/01/2025 09:05;Y;3;4;4;2;4;3;4;3;1;1;1;1;4;4;1;4;2;3;1;1;read;3  4  4  2  4  3  4  3  1  1  1  1  4  4  1  4  2  3  1  1;read;read;;;;;;;;;AO04;AO04;AO04;;;AO04;;;;;;;AO02;;;;;;;;;;;;AO03;;AO03;;;;;AO03;;AO04;;;;;;;;;AO04;;AO03;AO04;;AO03;;AO04;;;;;AO03;AO03;;AO03;;;AO03;AO03;AO03;AO03;Y;;;;197.49;9.38;;;;31.7;;;39.73;;35.03;;7.68;;13.48;;8.69;;10.69;;11.09;;;30.02;
42;24/01/2025 09:08;10;en;528320721;24/01/2025 09:02;24/01/2025 09:08;Y;2;3;2;3;4;1;4;3;4;4;1;4;4;4;4;4;3;2;4;1;read;2  3  2  3  4  1  4  3  4  4  1  4  4  4  4  4  3  2  4  1;read;read;;;;;;AO03;;;;;AO03;;;;;;;AO03;;AO04;;;;;;;;;;;;;;AO03;;AO05;;AO03;;;;AO03;;;;;;;;AO03;;;;;;AO04;;AO03;;AO03;AO04;;AO03;AO04;AO03;AO03;;;AO03;AO03;AO03;AO03;Y;;;Y;340.29;31.61;;;;47.53;;;112.85;;83.02;;4.06;;8.58;;5.87;;10.88;;11.91;;;23.98;
43;24/01/2025 09:15;10;en;1087211756;24/01/2025 09:03;24/01/2025 09:15;Y;1;4;4;4;2;1;3;1;4;2;3;1;4;4;1;2;1;4;2;2;read;1  4  4  4  2  1  3  1  4  2  3  1  4  4  1  2  1  4  2  2;read;read;AO05;;;;;AO04;;AO05;;;;;;AO02;;AO01;;;;;;AO04;;;;;AO05;;;;;AO01;;;;;;;;;AO05;;;;AO05;;;;;;;;AO05;AO05;AO05;;;;;AO05;;;AO03;AO01;;;;AO01;AO01;AO03;AO03;AO04;Y;;;Y;713.43;22.59;;;;110.52;;;101.97;;76.63;;40.31;;134.48;;19.18;;55.94;;34.43;;;117.38;
44;24/01/2025 09:10;10;en;1991280593;24/01/2025 09:03;24/01/2025 09:10;Y;4;4;2;1;2;1;3;3;4;1;4;1;3;2;2;1;1;3;3;1;read;4  4  2  1  2  1  3  3  4  1  4  1  3  2  2  1  1  3  3  1;read;read;;;;AO03;;AO02;;;;AO05;;;;;AO02;AO02;;;;AO05;;AO05;;;;;;;;AO02;AO02;;;;;;;;;;AO03;AO04;;;;AO03;;;;;AO01;AO04;AO04;;;;;;;AO05;;AO05;;;;;;;AO01;AO03;AO01;AO05;Y;Y;;Y;443.65;24.81;;;;83.91;;;92.03;;60.62;;50.13;;28.66;;36.78;;10.98;;31.98;;;23.75;
45;24/01/2025 09:16;10;en;1914973399;24/01/2025 09:03;24/01/2025 09:16;Y;2;4;4;1;1;3;1;1;4;2;4;3;2;3;1;3;4;1;2;3;read;2  4  4  1  1  3  1  1  4  2  4  3  2  3  1  3  4  1  2  3;read;read;;;;AO02;AO05;;AO02;AO04;;;;;;AO04;;;AO02;AO02;;;;;;;;;AO05;;AO04;;;;;;;;;;;AO04;;;;;;;AO02;;AO03;;;;AO02;AO02;;;;;;AO05;;AO05;;;;;AO02;;AO01;AO05;AO03;AO04;;Y;;;718.93;24.75;;;;153.84;;;150.37;;146.87;;106.55;;26.3;;29.06;;28.49;;27.66;;;25.04;
46;24/01/2025 09:07;10;en;651072359;24/01/2025 09:04;24/01/2025 09:07;Y;2;1;4;4;1;4;1;4;4;2;3;4;2;4;3;4;1;3;3;4;read;2  1  4  4  1  4  1  4  4  2  3  4  2  4  3  4  1  3  3  4;read;read;;AO03;;;AO04;;AO02;;;;;;;;;AO04;;AO03;;;;;;;;;AO02;;AO04;;;;;;;;;;;;;;;;AO04;;;AO02;;;AO02;;;AO03;AO03;;AO03;;AO04;AO04;;;;AO04;;AO03;;;AO02;AO02;AO03;AO03;Y;Y;;;222.26;10.68;;;;63.38;;;41.39;;23.89;;9.08;;10.49;;10.41;;21.18;;22.69;;;9.07;
47;24/01/2025 09:06;10;en;1763195990;24/01/2025 09:04;24/01/2025 09:06;Y;4;2;1;3;3;1;2;2;4;2;4;3;1;1;2;3;1;1;3;4;read;4  2  1  3  3  1  2  2  4  2  4  3  1  1  2  3  1  1  3  4;read;read;;;AO02;;;AO03;;;;;;AO03;AO02;;;AO02;AO03;;AO04;;;;;AO04;AO04;;AO04;;;;AO03;;;;;;;AO03;AO04;;;;;;;;;;AO04;;;AO03;;;;;;;;AO04;;AO05;;;;;;;AO03;AO03;AO03;AO04;Y;;;;125.3;7.2;;;;21.79;;;18.6;;12.96;;23;;9.27;;5.54;;5;;11.1;;;10.84;
